,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
40,Cabo San Lucas,40,MX,1562433135,61,22.89,-109.91,93.0,5.82
41,Adrar,0,DZ,1562433269,7,27.87,-0.29,114.8,18.34
42,Tomatlan,97,MX,1562433257,59,19.93,-105.25,87.7,16.62
43,New Norfolk,65,AU,1562433201,93,-42.78,147.06,43.0,8.05
44,Clyde River,90,CA,1562433547,100,70.47,-68.59,35.6,19.46
45,Skvyra,10,UA,1562433547,84,49.73,29.66,60.88,6.8
46,Sept-Iles,75,CA,1562433185,73,50.2,-66.38,72.0,6.93
47,Port Alfred,15,ZA,1562433213,61,-33.59,26.89,64.99,4.0
48,Khandbari,100,NP,1562433548,95,27.38,87.21,59.8,0.49
49,Nuuk,75,GL,1562433238,58,64.17,-51.74,55.4,13.87
50,Georgetown,75,GY,1562432904,74,6.8,-58.16,86.0,9.17
51,Hilo,1,US,1562433199,64,19.71,-155.08,73.0,5.82
52,Atuona,41,PF,1562433208,79,-9.8,-139.03,81.22,20.76
53,Ambilobe,12,MG,1562433549,72,-13.19,49.05,73.3,6.55
54,Karratha,0,AU,1562433236,72,-20.74,116.85,62.86,2.44
55,Victoria,75,BN,1562433060,88,5.28,115.24,80.6,1.12
56,Pontianak,33,ID,1562433550,76,-0.02,109.34,82.3,6.08
57,Nishihara,90,JP,1562433216,93,35.74,139.53,70.0,13.87
58,Iqaluit,75,CA,1562433211,81,63.75,-68.52,46.0,2.24
59,Kudahuvadhoo,100,MV,1562433551,74,2.67,72.89,84.1,10.16
60,Ribeira Grande,75,PT,1562432929,88,38.52,-28.7,69.8,13.44
61,Myitkyina,100,MM,1562433551,98,25.38,97.4,72.22,1.25
62,West Bay,90,CA,1562433552,82,49.34,-123.21,66.0,5.82
63,Mar del Plata,0,AR,1562433215,61,-46.43,-67.52,50.08,12.26
64,Castro,20,CL,1562433248,100,-42.48,-73.76,48.2,6.93
65,Menongue,0,AO,1562433552,34,-14.66,17.68,59.8,4.63
66,Starotimoshkino,99,RU,1562433553,97,53.72,47.54,56.74,5.01
67,Balsas,46,BR,1562433553,36,-7.53,-46.04,91.66,2.37
68,Zavyalovo,0,RU,1562433553,64,54.51,82.45,69.8,6.71
69,Caravelas,78,BR,1562433554,81,-17.73,-39.27,74.74,18.95
70,Kodiak,75,US,1562433203,42,39.95,-94.76,81.0,12.75
71,Jamestown,98,AU,1562433204,88,-33.21,138.6,54.04,7.27
72,Husavik,60,CA,1562433554,38,50.56,-96.99,71.01,1.12
73,Kasongo-Lunda,0,CD,1562433200,29,-6.48,16.82,74.74,2.66
74,Port Hardy,90,CA,1562433555,100,50.7,-127.42,55.4,3.36
75,Mayumba,59,GA,1562433555,88,-3.44,10.65,73.12,8.37
76,Santiago del Estero,0,AR,1562433475,43,-27.8,-64.26,60.34,14.36
77,Kijang,20,KR,1562433538,64,35.24,129.21,73.4,18.34
78,Moerai,3,PF,1562433556,76,-22.43,-151.33,69.52,21.72
79,Nikolskoye,40,RU,1562433218,62,59.7,30.79,59.0,4.47
80,Bethel,1,US,1562433211,82,60.79,-161.76,64.4,8.05
81,Diamantino,55,BR,1562433245,33,-14.4,-56.44,74.02,10.94
82,Airai,7,TL,1562433220,76,-8.93,125.41,63.94,6.76
83,East London,0,ZA,1562433202,34,-33.02,27.91,68.0,8.05
84,Cidreira,99,BR,1562433557,60,-30.17,-50.22,49.36,15.43
85,Ouesso,68,CG,1562433328,80,1.61,16.05,76.36,4.61
86,Aykhal,90,RU,1562433558,76,65.95,111.51,50.0,8.95
87,Lebu,83,ET,1562433214,85,8.96,38.73,59.26,1.95
88,Lososina,99,RU,1562433558,94,49.0,140.31,54.22,0.6
89,Butaritari,100,KI,1562433210,76,3.07,172.79,82.3,3.98
90,Chazuta,90,PE,1562433559,94,-6.57,-76.13,73.4,0.76
91,Kadaya,100,RU,1562433559,73,50.93,119.29,55.3,3.27
92,Bambanglipuro,19,ID,1562433560,85,-7.95,110.28,75.1,14.14
93,Dikson,8,RU,1562433207,89,73.51,80.55,34.6,15.79
94,Puerto Ayora,75,EC,1562433211,69,-0.74,-90.35,77.0,3.36
95,Marevo,0,BA,1562433561,25,43.57,18.7,89.6,8.05
96,Narsaq,75,GL,1562433250,58,60.91,-46.05,57.2,6.93
97,Thompson,20,CA,1562433249,35,55.74,-97.86,73.4,11.41
98,Cherskiy,61,RU,1562433205,48,68.75,161.3,65.56,14.9
99,Tuktoyaktuk,90,CA,1562433199,81,69.44,-133.03,46.4,25.28
100,Praxedis Guerrero,75,MX,1562433562,25,31.37,-106.02,89.6,11.41
101,Kapaa,1,US,1562433210,94,22.08,-159.32,75.2,6.93
102,Kununurra,0,AU,1562433563,82,-15.77,128.74,55.4,7.02
103,Price,1,US,1562433563,21,39.6,-110.81,81.0,5.82
104,Avera,90,US,1562433221,78,33.19,-82.53,88.0,5.82
105,Geraldton,40,CA,1562433202,48,49.72,-86.95,64.4,8.05
106,Kendal,40,ID,1562433564,74,-6.92,110.2,80.6,11.41
107,Ostersund,75,SE,1562433003,62,63.18,14.64,57.2,12.75
108,Methoni,40,GR,1562433564,65,36.82,21.7,82.4,4.03
109,Teguldet,87,RU,1562433239,85,57.31,88.17,59.8,4.21
110,Soe,91,EE,1562433565,93,57.91,26.05,55.4,9.17
111,Port Elizabeth,75,US,1562433213,70,39.31,-74.98,93.0,6.93
112,Avarua,3,CK,1562433205,60,-21.21,-159.78,71.6,10.29
113,Gualeguaychu,0,AR,1562433565,43,-33.01,-58.51,53.01,1.99
114,Saskylakh,100,RU,1562433204,96,71.97,114.09,41.98,10.8
115,Constitucion,75,MX,1562433228,49,23.99,-104.67,73.99,3.36
116,Snezhnogorsk,90,RU,1562433566,93,69.19,33.23,48.2,4.47
117,Vilhena,0,BR,1562433566,53,-12.74,-60.15,71.6,11.41
118,Bereda,40,ES,1562433228,77,43.27,-7.54,71.01,8.05
119,Irpa Irpa,11,BO,1562433567,29,-17.72,-66.29,75.2,3.36
120,Katsuura,75,JP,1562433224,83,33.93,134.5,73.4,8.05
121,Upernavik,99,GL,1562433201,71,72.79,-56.15,44.68,7.11
122,Coahuayana,57,MX,1562433568,59,18.62,-100.35,90.22,2.08
123,Lukiv,71,UA,1562433510,51,51.05,25.4,71.01,5.01
124,Arrifes,40,PT,1562433568,68,37.77,-25.7,69.8,10.29
125,Comodoro Rivadavia,0,AR,1562433569,51,-45.87,-67.48,59.0,14.99
126,Auki,19,NG,1562433253,49,12.18,6.51,88.42,4.83
127,Vitim,98,RU,1562433569,51,59.44,112.57,67.54,4.59
128,Baruun-Urt,93,MN,1562433569,67,46.68,113.28,55.84,2.08
129,Port Augusta,86,AU,1562433570,72,-32.49,137.76,60.8,11.41
130,Bacolod,22,PH,1562433570,80,10.68,122.95,81.04,7.16
131,Pisco,20,PE,1562433570,30,-13.71,-76.2,71.6,8.05
132,Cape Town,90,ZA,1562433206,93,-33.93,18.42,59.0,20.8
133,Nhulunbuy,2,AU,1562433571,94,-12.18,136.78,68.0,4.7
134,Tessalit,75,ML,1562433571,22,20.2,1.01,96.7,12.82
135,Florida,0,UY,1562433571,65,-34.1,-56.21,46.84,8.12
136,Sola,90,TZ,1562433259,46,-3.17,33.8,74.92,7.29
137,Samarai,49,PG,1562433572,92,-10.62,150.67,73.3,2.91
138,El Carmen de Bolivar,62,CO,1562433572,59,9.72,-75.12,91.3,4.27
139,Sogne,75,NO,1562433573,82,58.08,7.82,59.0,8.05
140,Barrow,0,AR,1562433198,49,-38.31,-60.23,53.32,8.84
141,Sao Filipe,13,CV,1562433231,84,14.9,-24.5,73.3,23.47
142,Chuy,75,UY,1562433247,68,-33.69,-53.46,48.1,12.75
143,Garissa,67,KE,1562433574,63,-0.46,39.64,78.88,20.33
144,Zyryanka,84,RU,1562433574,65,65.73,150.89,54.22,13.0
145,Dickinson,90,US,1562433235,53,46.88,-102.79,73.0,16.11
146,Hithadhoo,86,MV,1562433151,67,-0.6,73.08,84.46,7.27
147,Dunedin,52,NZ,1562433204,74,-45.87,170.5,43.0,5.01
148,Celestun,4,MX,1562433575,72,20.87,-90.4,82.3,7.52
149,Mahebourg,40,MU,1562433258,73,-20.41,57.7,73.4,6.93
150,Churapcha,51,RU,1562433576,97,62.0,132.43,52.78,6.62
151,Tasiilaq,5,GL,1562433201,81,65.61,-37.64,44.6,10.29
152,Burns Lake,0,CA,1562433576,36,54.23,-125.76,67.9,4.32
153,Santa Rosa,0,AR,1562433576,38,-36.62,-64.29,57.64,8.61
154,Faanui,8,PF,1562433264,81,-16.48,-151.75,77.44,15.08
155,Itarema,84,BR,1562433233,64,-2.92,-39.92,84.64,11.43
156,Belmonte,0,PT,1562433577,62,40.36,-7.35,77.0,7.0
157,Talnakh,0,RU,1562433272,62,69.49,88.39,55.4,20.13
158,Aklavik,40,CA,1562433578,66,68.22,-135.01,53.6,5.82
159,Novopetrovskoye,40,RU,1562433578,58,55.99,36.47,59.0,11.18
160,Bredasdorp,88,ZA,1562433198,59,-34.53,20.04,64.99,24.16
161,Port Hedland,0,AU,1562433579,88,-20.31,118.58,62.6,6.93
162,Noblesville,40,US,1562433579,74,40.05,-86.01,90.0,4.7
163,Piacabucu,0,BR,1562433580,71,-10.41,-36.43,80.86,11.7
164,Muskegon,1,US,1562433380,35,43.23,-86.25,87.01,9.17
165,The Pas,75,CA,1562433580,40,53.82,-101.24,71.6,8.05
166,Saldus,0,LV,1562433580,69,56.67,22.49,56.2,5.75
167,Iquique,20,CL,1562433246,72,-20.22,-70.14,60.8,12.75
168,Kailua,20,US,1562433060,78,21.39,-157.74,78.8,3.36
169,Prince George,40,CA,1562433331,76,53.92,-122.75,64.99,6.93
170,Emmett,1,US,1562433581,33,43.87,-116.5,82.0,7.78
171,Lucapa,26,AO,1562433245,22,-8.42,20.74,74.74,2.95
172,Shyryayeve,74,UA,1562433582,66,47.38,30.2,66.28,2.98
173,Sembakung,1,ID,1562433582,97,3.82,117.25,73.3,0.85
174,Isla Vista,1,US,1562433583,68,34.41,-119.86,68.0,5.88
175,Miles City,20,US,1562433583,64,46.41,-105.84,77.0,12.75
176,Gravdal,75,NO,1562433583,81,59.79,5.78,57.99,26.4
177,Jinotega,90,NI,1562433584,94,13.09,-86.0,68.0,4.7
178,Balasore,100,IN,1562433584,84,21.5,86.92,78.52,10.27
179,Mount Isa,90,AU,1562433243,77,-20.73,139.49,60.8,5.82
180,Gandajika,0,CD,1562433584,30,-6.75,23.95,74.92,2.91
181,Ambon,0,FR,1562433228,48,47.55,-2.56,84.2,10.29
182,Longyearbyen,0,NO,1562433241,66,78.22,15.63,53.6,4.7
183,Pasni,18,PK,1562433585,88,25.26,63.48,81.4,2.84
184,Zhoucheng,20,CN,1562433586,94,31.35,119.33,71.6,2.24
185,Cockburn Town,44,TC,1562433187,77,21.46,-71.14,82.3,22.82
186,Pokhara,59,NP,1562433586,90,28.21,83.99,56.38,0.54
187,Charters Towers,30,AU,1562433587,97,-20.07,146.27,60.52,9.64
188,Broken Hill,19,AU,1562433587,62,-31.97,141.45,57.2,10.29
189,Berlevag,48,NO,1562432985,88,70.86,29.09,44.86,22.93
190,Lokosovo,100,RU,1562433587,62,61.13,74.84,62.68,3.58
191,La Palma,3,CO,1562433588,36,5.36,-74.39,90.94,5.7
192,Presidencia Roque Saenz Pena,0,AR,1562433588,35,-26.79,-60.44,57.82,4.54
193,Morondava,0,MG,1562433588,75,-20.3,44.28,76.18,16.64
194,Fortuna,90,US,1562433061,72,40.6,-124.16,63.0,11.41
195,Tura,93,RU,1562433295,95,64.27,100.22,53.68,2.33
196,Buraydah,20,SA,1562433577,15,26.33,43.97,107.6,6.93
197,Blagoyevo,100,RU,1562433589,91,63.37,47.92,57.82,3.98
198,Khatanga,73,RU,1562433226,72,71.98,102.47,43.6,13.87
199,Kuytun,100,RU,1562433590,94,54.34,101.51,55.66,3.15
200,Isangel,0,VU,1562432980,85,-19.55,169.27,74.02,23.62
201,Kharp,17,RU,1562433590,63,66.82,65.8,49.0,5.14
202,Lubao,0,CD,1562433591,28,-5.39,25.75,79.42,2.8
203,Linqing,61,CN,1562433591,79,36.85,115.71,69.34,11.34
204,Yulara,90,AU,1562433591,47,-25.24,130.99,55.4,5.82
205,Yeniseysk,99,RU,1562433591,95,58.45,92.17,59.08,3.31
206,Talaya,20,RU,1562433592,82,55.79,84.89,60.8,6.71
207,Nicoya,40,CR,1562433495,62,10.15,-85.45,86.0,9.17
208,Faya,40,SA,1562433223,69,18.39,42.45,77.0,9.17
209,Te Anau,67,NZ,1562433592,80,-45.41,167.72,42.16,10.85
210,Maragogi,24,BR,1562433593,70,-9.01,-35.22,81.4,8.63
211,Walvis Bay,0,NA,1562433593,82,-22.95,14.51,66.2,4.7
212,Coihaique,75,CL,1562433256,81,-45.58,-72.07,44.6,6.93
213,Rio Gallegos,0,AR,1562433593,75,-51.62,-69.22,42.8,3.36
214,Aromashevo,100,RU,1562433594,96,56.86,68.64,53.5,7.81
215,Leh,0,IN,1562433594,48,34.16,77.58,37.12,4.65
216,Mercedes,0,UY,1562433594,43,-33.25,-58.03,51.01,1.99
217,Lorengau,99,PG,1562433236,88,-2.02,147.27,77.26,10.67
218,Tjaereborg,59,DK,1562433595,76,55.46,8.58,59.0,20.8
219,Ponta Pora,0,BR,1562433530,37,-22.54,-55.73,53.6,11.41
220,San Pedro,0,AR,1562433595,50,-33.68,-59.66,54.0,7.02
221,Meridian,1,US,1562433319,33,43.61,-116.39,82.0,13.56
222,Saint-Malo,0,FR,1562433596,46,48.65,-2.02,75.0,11.41
223,Biala Podlaska,99,PL,1562433596,94,52.03,23.12,58.54,3.87
224,Boyolangu,1,ID,1562433243,95,-8.09,111.9,67.9,4.0
225,Thinadhoo,48,MV,1562433597,72,0.53,72.93,84.1,10.2
226,Plotnikovo,0,RU,1562433597,64,55.04,83.4,69.8,6.71
227,Steinbach,40,CA,1562433597,43,49.53,-96.69,73.99,3.36
228,Atar,13,MR,1562433598,12,20.52,-13.05,107.68,9.24
229,Jardim,8,BR,1562433598,32,-21.48,-56.15,58.0,6.71
230,Banyumas,77,ID,1562433598,91,-7.52,109.29,70.96,2.1
231,Antigonish,1,CA,1562433339,40,45.62,-61.99,90.0,11.41
232,San Quintin,100,PH,1562433215,92,17.54,120.52,74.92,3.6
233,Bathsheba,20,BB,1562433227,62,13.22,-59.52,87.8,16.11
234,Sao Jose da Coroa Grande,24,BR,1562433599,70,-8.9,-35.15,81.4,8.63
235,Arraial do Cabo,40,BR,1562433198,56,-22.97,-42.02,68.0,20.8
236,Los Llanos de Aridane,75,ES,1562433221,69,28.66,-17.92,73.4,11.41
237,Hasaki,75,JP,1562433216,100,35.73,140.83,68.0,19.46
238,Guerrero Negro,13,MX,1562433242,85,27.97,-114.04,63.58,9.91
239,Biak,83,ID,1562433600,98,-0.91,122.88,60.34,5.59
240,Beringovskiy,59,RU,1562433229,84,63.05,179.32,51.16,5.03
241,Sol-Iletsk,8,RU,1562433601,54,51.16,55.0,61.96,2.77
242,Ilulissat,20,GL,1562433223,50,69.22,-51.1,53.6,4.7
243,Fairbanks,1,US,1562433321,68,64.84,-147.72,73.99,3.36
244,Saldanha,0,PT,1562433602,32,41.42,-6.55,80.86,11.52
245,Boa Vista,75,BR,1562433259,49,2.82,-60.67,91.4,6.93
246,Kloulklubed,75,PW,1562433602,94,7.04,134.26,77.0,5.91
247,Ipanguacu,20,BR,1562433437,41,-5.5,-36.85,96.8,5.82
248,Paamiut,91,GL,1562433255,81,61.99,-49.67,45.22,6.08
249,General Pico,0,AR,1562433603,40,-35.66,-63.75,57.28,7.61
250,Diu,87,IN,1562433603,76,20.71,70.98,83.2,15.28
251,Berdigestyakh,51,RU,1562433603,96,62.1,126.7,47.38,3.24
252,Hamilton,90,CA,1562433166,83,43.26,-79.87,84.99,5.82
253,Lompoc,75,US,1562432994,87,34.64,-120.46,60.8,8.05
254,Raudeberg,20,NO,1562433604,62,61.99,5.14,59.0,20.8
255,Ust-Nera,98,RU,1562433605,87,64.57,143.24,45.76,2.26
256,Rundu,0,NA,1562433605,10,-17.91,19.77,77.0,3.36
257,Nanortalik,87,GL,1562433262,75,60.14,-45.24,42.88,1.21
258,Rumoi,7,JP,1562433605,88,43.93,141.67,61.6,10.54
259,Waddan,0,LY,1562433606,14,29.16,16.14,91.12,8.63
260,Mahajanga,40,MG,1562433229,74,-15.72,46.32,78.8,4.7
261,Cumberland,40,US,1562433606,70,41.97,-71.43,91.99,9.17
262,Pevek,25,RU,1562433215,77,69.7,170.27,46.66,26.78
263,Rio Grande,75,BR,1562433197,57,-32.03,-52.1,51.8,13.87
264,Jutai,0,BR,1562433607,48,-1.71,-47.89,92.2,4.88
265,Acapulco,75,MX,1562433607,74,16.86,-99.88,86.0,5.82
266,Okhotsk,100,RU,1562433607,96,59.36,143.24,44.68,1.21
267,Sirjan,49,IR,1562433608,14,29.44,55.67,85.9,16.87
268,Islahiye,0,TR,1562433608,54,37.03,36.63,84.2,21.92
269,Montepuez,98,MZ,1562433608,48,-13.13,39.0,73.84,2.55
270,Rosarito,20,CO,1562433608,74,4.91,-75.23,82.4,6.93
271,Vila Franca do Campo,40,PT,1562433034,68,37.72,-25.43,69.8,10.29
272,Luanda,40,AO,1562433609,83,-8.83,13.24,73.4,8.05
273,Abu Dhabi,0,AE,1562433539,67,24.47,54.37,95.0,16.11
274,Souillac,0,FR,1562433202,45,45.6,-0.6,86.0,11.41
275,Cairns,15,AU,1562433259,93,-16.92,145.77,66.2,10.29
276,Accra,20,GH,1562433610,83,5.56,-0.21,80.6,14.99
277,Paris,0,FR,1562433464,31,48.86,2.35,89.6,10.29
278,Ponta do Sol,64,BR,1562433212,40,-20.63,-46.0,63.94,10.31
279,Shwebo,100,MM,1562433611,73,22.57,95.7,80.14,17.36
280,Pueblo Bello,75,CO,1562433611,79,8.2,-76.53,84.2,9.17
281,Susanville,1,US,1562433611,31,40.42,-120.65,78.01,6.62
282,Igatpuri,100,IN,1562433611,94,19.7,73.57,72.4,9.24
283,Kanadey,99,RU,1562433612,97,53.17,47.53,57.1,6.44
284,Kalevala,59,FI,1562433612,74,64.12,29.58,59.62,5.37
285,Imeni Poliny Osipenko,0,RU,1562433242,97,52.42,136.49,56.38,1.7
286,Kavieng,100,PG,1562433212,78,-2.57,150.8,79.78,6.89
287,Yumen,100,CN,1562433613,48,40.29,97.04,65.74,6.67
288,Rio Piracicaba,65,BR,1562433613,27,-19.93,-43.17,73.12,4.72
289,Ilhabela,62,BR,1562433613,66,-23.78,-45.36,62.68,16.64
290,Quatre Cocos,40,MU,1562433614,78,-20.21,57.76,73.4,6.93
291,Muros,75,ES,1562433614,77,42.77,-9.06,71.01,4.7
292,Talcahuano,75,CL,1562433614,82,-36.72,-73.12,57.2,14.99
293,Sorland,100,NO,1562433615,90,67.67,12.69,48.28,22.62
294,Tual,67,ID,1562433230,80,-5.67,132.75,77.44,19.22
295,Saint-Francois,0,FR,1562433275,36,46.42,3.91,91.4,2.24
296,Ostrovnoy,100,RU,1562433251,89,68.05,39.51,47.2,8.59
297,Balad,34,ID,1562433616,96,-6.76,108.42,65.38,2.68
298,Mehamn,20,NO,1562433208,83,71.03,27.85,46.12,22.73
299,Buta,100,CD,1562433616,90,2.79,24.73,72.04,0.74
300,Atherton,2,AU,1562433616,93,-17.27,145.48,66.2,10.29
301,Sulangan,34,PH,1562433216,78,11.14,123.72,81.94,4.52
302,Kutum,50,SD,1562433617,22,14.2,24.66,90.22,3.89
303,Vestmanna,75,FO,1562433617,81,62.16,-7.17,46.4,16.11
304,Pajapan,75,MX,1562433617,62,18.26,-94.69,87.8,6.15
305,Alofi,18,NU,1562433224,83,-19.06,-169.92,69.8,4.7
306,Lahaina,20,US,1562433618,65,20.87,-156.68,77.0,4.7
307,Viedma,0,AR,1562433252,50,-40.81,-62.99,56.02,6.15
308,Sao Joao da Barra,75,BR,1562433270,53,-21.64,-41.05,73.4,23.04
309,Havoysund,72,NO,1562433619,93,71.0,24.66,48.2,17.22
310,Touros,40,BR,1562433230,62,-5.2,-35.46,84.2,11.41
311,Atasu,33,KZ,1562433619,50,48.68,71.64,72.58,10.09
312,Boende,82,CD,1562433620,91,-0.28,20.88,75.1,3.22
313,Salalah,90,OM,1562433266,88,17.01,54.1,82.4,4.7
314,College,1,US,1562433620,68,64.86,-147.8,73.99,3.36
315,Benguela,4,AO,1562433620,88,-12.58,13.4,70.06,2.1
316,Hirara,100,JP,1562433621,85,24.8,125.28,84.46,18.05
317,Latung,0,ID,1562433621,75,-8.45,120.42,62.5,5.57
318,Colombo,20,BR,1562433621,44,-25.29,-49.22,59.0,3.36
319,Cacequi,0,BR,1562433622,54,-29.88,-54.83,49.36,5.48
320,Kamenskiy,100,RU,1562433622,89,50.89,45.49,59.62,5.61
321,Sitka,100,US,1562433197,72,37.17,-99.65,75.99,4.54
322,Lafia,44,NG,1562433622,80,8.5,8.51,80.68,5.06
323,Zhigansk,0,RU,1562433623,88,66.77,123.37,45.58,6.26
324,Batagay-Alyta,99,RU,1562433623,87,67.8,130.41,43.78,3.89
325,Belaya Gora,100,RU,1562433624,96,68.54,146.19,53.14,12.37
326,Lazaro Cardenas,100,MX,1562433624,39,28.39,-105.62,84.99,3.0
327,Mitu,0,IR,1562433624,17,36.2,46.09,72.94,11.48
328,Ternate,20,PH,1562433624,83,14.29,120.72,82.4,4.7
329,Fort Nelson,75,CA,1562433240,59,58.81,-122.69,62.6,4.7
330,Brae,98,GB,1562433223,71,60.4,-1.35,51.8,13.87
331,Barabai,0,ID,1562433625,94,-2.59,115.38,73.48,1.34
332,Mangrol,100,IN,1562433625,79,25.33,76.51,81.04,10.56
333,Severo-Kurilsk,91,RU,1562433205,93,50.68,156.12,42.7,3.83
334,Havelock,20,US,1562433330,83,34.88,-76.9,89.6,6.93
335,Pauini,64,BR,1562433626,46,-7.71,-67.0,82.66,6.2
336,Port Hawkesbury,1,CA,1562433627,40,45.62,-61.36,90.0,11.41
337,Kashin,93,RU,1562433627,94,57.36,37.61,50.26,7.16
338,Anloga,54,GH,1562433627,78,5.79,0.9,79.06,14.41
339,Artyom,90,RU,1562433628,100,43.36,132.19,57.2,4.47
340,Marienburg,75,DE,1562433274,87,52.12,9.98,66.2,12.75
341,Bay Village,1,US,1562433605,69,41.48,-81.92,89.01,9.17
342,La Union,25,GT,1562433628,20,14.97,-89.29,81.0,3.0
343,Rodrigues Alves,90,BR,1562433629,88,-7.74,-72.65,71.6,11.41
344,Javanrud,0,IR,1562433629,7,34.8,46.49,89.6,6.93
345,Dwarka,75,IN,1562433629,70,28.58,77.04,91.99,6.93
346,Visby,0,SE,1562433630,67,57.64,18.3,60.8,11.41
347,Rocha,15,UY,1562433247,64,-34.48,-54.34,46.84,11.16
348,Baraboo,90,US,1562433630,73,43.47,-89.74,70.0,4.7
349,Zuenoula,49,CI,1562433631,76,7.43,-6.04,79.6,3.06
350,Kalmunai,100,LK,1562433167,68,7.42,81.82,78.52,3.85
351,Hervey Bay,90,AU,1562433631,93,-25.3,152.85,62.01,9.17
352,La Ronge,75,CA,1562433257,49,55.1,-105.3,68.0,3.36
353,Pingxiang,100,CN,1562433632,92,27.63,113.85,75.82,2.98
354,Lhokseumawe,28,ID,1562433632,95,5.18,97.15,70.78,3.15
355,Esperance,89,AU,1562433225,93,-33.86,121.89,48.2,11.41
356,Puerto Suarez,14,BO,1562433633,48,-18.96,-57.8,66.2,9.17
357,Chicama,40,PE,1562433250,88,-7.84,-79.15,64.4,12.75
358,Mascote,20,BR,1562433634,79,-15.56,-39.3,84.2,11.41
359,Huallanca,28,PE,1562433634,47,-9.9,-76.94,48.28,7.96
360,Saint-Joseph,0,FR,1562433253,55,43.56,6.97,91.4,8.05
361,Redlands,5,US,1562433558,53,34.06,-117.19,86.0,5.7
362,Nueva Guinea,67,NI,1562433634,73,11.69,-84.46,84.46,12.08
363,Sinaloa,1,MX,1562433635,43,32.55,-115.28,89.6,3.36
364,Tabou,98,CI,1562433465,83,4.42,-7.36,75.1,8.3
365,Ancud,20,CL,1562433243,100,-41.87,-73.83,48.2,6.93
366,Tuatapere,56,NZ,1562433210,76,-46.13,167.69,49.54,37.63
367,Sturgeon Bay,90,US,1562433636,88,44.83,-87.38,69.01,12.75
368,Spornoye,0,RU,1562433636,37,50.84,37.29,68.0,13.42
369,Jega,0,NG,1562433636,33,12.22,4.38,96.7,6.26
370,Cervo,0,BR,1562433637,50,-22.19,-46.24,55.4,6.85
371,Tahoua,0,NE,1562433270,39,14.89,5.26,98.6,9.17
372,Kaitangata,82,NZ,1562432965,69,-46.28,169.85,41.0,8.99
373,Vao,96,EE,1562433235,87,59.1,26.19,55.12,7.0
